Case,Actual Outcome,Actual Outcome of 5 Most Similar Cases,Similarity#1,Similarity#2,Similarity#3,Similarity#4,Similarity#5,Top 5 Most Similar Case Index,Similarity Score,Diff_Attributes: Most Similar Variation 1,Diff_Attributes: Most Similar Variation 2,Diff_Attributes: Most Similar Variation 3,Diff_Attributes: Most Similar Variation 4,Diff_Attributes: Most Similar Variation 5
97,8,[8 8 8 8 8],Case: 101 / Pred: 8,Case: 105 / Pred: 8,Case: 109 / Pred: 8,Case: 102 / Pred: 8,Case: 108 / Pred: 8,"[101, 105, 109, 102, 108]","[0.33969331362362665, 0.3394824697009694, 0.3387842984711883, 0.3345784544751269, 0.3343688574555957]","Mission: 3.0/8.0, Denial: 7.0/8.0, Risktol: 7.0/3.0 - Non-Counterfactual","Mission: 7.0/8.0, Denial: 2.0/8.0, Timeurg: 4.0/7.0 - Non-Counterfactual","Mission: 4.0/8.0, Denial: 2.0/8.0, Risktol: 6.0/3.0, Timeurg: 6.0/7.0 - Non-Counterfactual","Age: 40.0/25.0, Rank: 0.0/1.0, Location: 3.0/1.0, Mission: 3.0/8.0, Timeurg: 3.0/7.0 - Non-Counterfactual","Age: 22.0/25.0, Injury Type: 1.0/2.0, Severity: 0.5/0.25, Mission: 2.0/8.0, Denial: 2.0/8.0, Risktol: 7.0/3.0 - Non-Counterfactual"
98,8,[8 8 8 8 8],Case: 110 / Pred: 8,Case: 102 / Pred: 8,Case: 106 / Pred: 8,Case: 107 / Pred: 8,Case: 97 / Pred: 8,"[110, 102, 106, 107, 97]","[0.3394824697009694, 0.33920314355080317, 0.33920314355080317, 0.33415370826117213, 0.3340708624339487]","Mission: 4.0/8.0, Denial: 2.0/8.0, Timeurg: 4.0/8.0 - Non-Counterfactual","Mission: 3.0/8.0, Risktol: 3.0/2.0, Timeurg: 3.0/8.0 - Non-Counterfactual","Mission: 7.0/8.0, Risktol: 8.0/2.0, Timeurg: 6.0/8.0 - Non-Counterfactual","Age: 26.0/40.0, Rank: 1.0/0.0, Injury Type: 0.0/2.0, Severity: 1.0/0.25, Location: 2.0/3.0, Mission: 2.0/8.0, Denial: 3.0/8.0, Timeurg: 4.0/8.0 - Non-Counterfactual","Age: 25.0/40.0, Rank: 1.0/0.0, Location: 1.0/3.0, Risktol: 3.0/2.0, Timeurg: 7.0/8.0 - Non-Counterfactual"
99,8,[8 8 8 8 8],Case: 103 / Pred: 8,Case: 111 / Pred: 8,Case: 107 / Pred: 8,Case: 96 / Pred: 8,Case: 100 / Pred: 8,"[103, 111, 107, 96, 100]","[0.3403081901700035, 0.33969331362362665, 0.33940082184166687, 0.3352762364260449, 0.3352762364260449]",Risktol: 7.0/8.0 - Non-Counterfactual,"Mission: 4.0/2.0, Denial: 2.0/3.0, Risktol: 3.0/8.0 - Non-Counterfactual","Risktol: 2.0/8.0, Timeurg: 4.0/2.0 - Non-Counterfactual","Age: 22.0/26.0, Injury Type: 1.0/0.0, Severity: 0.5/1.0, Location: 1.0/2.0, Denial: 2.0/3.0 - Non-Counterfactual","Age: 22.0/26.0, Injury Type: 1.0/0.0, Severity: 0.5/1.0, Location: 1.0/2.0, Denial: 8.0/3.0 - Non-Counterfactual"
100,8,[8 8 8 8 8],Case: 96 / Pred: 8,Case: 104 / Pred: 8,Case: 108 / Pred: 8,Case: 99 / Pred: 8,Case: 106 / Pred: 8,"[96, 104, 108, 99, 106]","[0.3405866100367219, 0.33989070683478784, 0.33898222101264736, 0.3352762364260449, 0.3345786983380001]",Denial: 2.0/8.0 - Non-Counterfactual,"Denial: 2.0/8.0, Risktol: 3.0/8.0 - Non-Counterfactual","Denial: 2.0/8.0, Risktol: 7.0/8.0, Timeurg: 7.0/2.0 - Non-Counterfactual","Age: 26.0/22.0, Injury Type: 0.0/1.0, Severity: 1.0/0.5, Location: 2.0/1.0, Denial: 3.0/8.0 - Non-Counterfactual","Age: 40.0/22.0, Rank: 0.0/1.0, Injury Type: 2.0/1.0, Severity: 0.25/0.5, Location: 3.0/1.0, Mission: 7.0/2.0, Timeurg: 6.0/2.0 - Non-Counterfactual"
101,8,[8 8 8 8 8],Case: 97 / Pred: 8,Case: 105 / Pred: 8,Case: 109 / Pred: 8,Case: 108 / Pred: 8,Case: 103 / Pred: 8,"[97, 105, 109, 108, 103]","[0.33969331362362665, 0.3387842984711883, 0.3387842984711883, 0.335076228908908, 0.3341547939413146]","Mission: 8.0/3.0, Denial: 8.0/7.0, Risktol: 3.0/7.0 - Non-Counterfactual","Mission: 7.0/3.0, Denial: 2.0/7.0, Risktol: 3.0/7.0, Timeurg: 4.0/7.0 - Non-Counterfactual","Mission: 4.0/3.0, Denial: 2.0/7.0, Risktol: 6.0/7.0, Timeurg: 6.0/7.0 - Non-Counterfactual","Age: 22.0/25.0, Injury Type: 1.0/2.0, Severity: 0.5/0.25, Mission: 2.0/3.0, Denial: 2.0/7.0 - Non-Counterfactual","Age: 26.0/25.0, Injury Type: 0.0/2.0, Severity: 1.0/0.25, Location: 2.0/1.0, Mission: 2.0/3.0, Denial: 3.0/7.0, Timeurg: 2.0/7.0 - Non-Counterfactual"
102,8,[8 8 8 8 8],Case: 98 / Pred: 8,Case: 106 / Pred: 8,Case: 110 / Pred: 8,Case: 97 / Pred: 8,Case: 104 / Pred: 8,"[98, 106, 110, 97, 104]","[0.33920314355080317, 0.33920314355080317, 0.3387842984711883, 0.3345784544751269, 0.3341540568022763]","Mission: 8.0/3.0, Risktol: 2.0/3.0, Timeurg: 8.0/3.0 - Non-Counterfactual","Mission: 7.0/3.0, Risktol: 8.0/3.0, Timeurg: 6.0/3.0 - Non-Counterfactual","Mission: 4.0/3.0, Denial: 2.0/8.0, Risktol: 2.0/3.0, Timeurg: 4.0/3.0 - Non-Counterfactual","Age: 25.0/40.0, Rank: 1.0/0.0, Location: 1.0/3.0, Mission: 8.0/3.0, Timeurg: 7.0/3.0 - Non-Counterfactual","Age: 22.0/40.0, Rank: 1.0/0.0, Injury Type: 1.0/2.0, Severity: 0.5/0.25, Location: 1.0/3.0, Mission: 2.0/3.0, Denial: 2.0/8.0, Timeurg: 2.0/3.0 - Non-Counterfactual"
103,8,[8 8 8 8 8],Case: 99 / Pred: 8,Case: 111 / Pred: 8,Case: 107 / Pred: 8,Case: 96 / Pred: 8,Case: 100 / Pred: 8,"[99, 111, 107, 96, 100]","[0.3403081901700035, 0.33969331362362665, 0.33940082184166687, 0.33456928784387663, 0.33456928784387663]",Risktol: 8.0/7.0 - Non-Counterfactual,"Mission: 4.0/2.0, Denial: 2.0/3.0, Risktol: 3.0/7.0 - Non-Counterfactual","Risktol: 2.0/7.0, Timeurg: 4.0/2.0 - Non-Counterfactual","Age: 22.0/26.0, Injury Type: 1.0/0.0, Severity: 0.5/1.0, Location: 1.0/2.0, Denial: 2.0/3.0, Risktol: 8.0/7.0 - Non-Counterfactual","Age: 22.0/26.0, Injury Type: 1.0/0.0, Severity: 0.5/1.0, Location: 1.0/2.0, Denial: 8.0/3.0, Risktol: 8.0/7.0 - Non-Counterfactual"
104,8,[8 8 8 8 8],Case: 96 / Pred: 8,Case: 100 / Pred: 8,Case: 108 / Pred: 8,Case: 111 / Pred: 8,Case: 105 / Pred: 8,"[96, 100, 108, 111, 105]","[0.3403081901700035, 0.33989070683478784, 0.33940082184166687, 0.33549959932031614, 0.33457929471795184]",Risktol: 8.0/3.0 - Non-Counterfactual,"Denial: 8.0/2.0, Risktol: 8.0/3.0 - Non-Counterfactual","Risktol: 7.0/3.0, Timeurg: 7.0/2.0 - Non-Counterfactual","Age: 26.0/22.0, Injury Type: 0.0/1.0, Severity: 1.0/0.5, Location: 2.0/1.0, Mission: 4.0/2.0 - Non-Counterfactual","Age: 25.0/22.0, Injury Type: 2.0/1.0, Severity: 0.25/0.5, Mission: 7.0/2.0, Timeurg: 4.0/2.0 - Non-Counterfactual"
105,8,[8 8 8 8 8],Case: 97 / Pred: 8,Case: 109 / Pred: 8,Case: 101 / Pred: 8,Case: 110 / Pred: 8,Case: 111 / Pred: 8,"[97, 109, 101, 110, 111]","[0.3394824697009694, 0.33920314355080317, 0.3387842984711883, 0.33479238683891027, 0.33457943454147626]","Mission: 8.0/7.0, Denial: 8.0/2.0, Timeurg: 7.0/4.0 - Non-Counterfactual","Mission: 4.0/7.0, Risktol: 6.0/3.0, Timeurg: 6.0/4.0 - Non-Counterfactual","Mission: 3.0/7.0, Denial: 7.0/2.0, Risktol: 7.0/3.0, Timeurg: 7.0/4.0 - Non-Counterfactual","Age: 40.0/25.0, Rank: 0.0/1.0, Location: 3.0/1.0, Mission: 4.0/7.0, Risktol: 2.0/3.0 - Non-Counterfactual","Age: 26.0/25.0, Injury Type: 0.0/2.0, Severity: 1.0/0.25, Location: 2.0/1.0, Mission: 4.0/7.0, Timeurg: 2.0/4.0 - Non-Counterfactual"
106,8,[8 8 8 8 8],Case: 98 / Pred: 8,Case: 102 / Pred: 8,Case: 110 / Pred: 8,Case: 100 / Pred: 8,Case: 109 / Pred: 8,"[98, 102, 110, 100, 109]","[0.33920314355080317, 0.33920314355080317, 0.3387842984711883, 0.3345786983380001, 0.334368016683957]","Mission: 8.0/7.0, Risktol: 2.0/8.0, Timeurg: 8.0/6.0 - Non-Counterfactual","Mission: 3.0/7.0, Risktol: 3.0/8.0, Timeurg: 3.0/6.0 - Non-Counterfactual","Mission: 4.0/7.0, Denial: 2.0/8.0, Risktol: 2.0/8.0, Timeurg: 4.0/6.0 - Non-Counterfactual","Age: 22.0/40.0, Rank: 1.0/0.0, Injury Type: 1.0/2.0, Severity: 0.5/0.25, Location: 1.0/3.0, Mission: 2.0/7.0, Timeurg: 2.0/6.0 - Non-Counterfactual","Age: 25.0/40.0, Rank: 1.0/0.0, Location: 1.0/3.0, Mission: 4.0/7.0, Denial: 2.0/8.0, Risktol: 6.0/8.0 - Non-Counterfactual"
107,8,[8 8 8 8 8],Case: 99 / Pred: 8,Case: 103 / Pred: 8,Case: 111 / Pred: 8,Case: 110 / Pred: 8,Case: 105 / Pred: 8,"[99, 103, 111, 110, 105]","[0.33940082184166687, 0.33940082184166687, 0.3387842984711883, 0.3350752858309263, 0.33436899736711895]","Risktol: 8.0/2.0, Timeurg: 2.0/4.0 - Non-Counterfactual","Risktol: 7.0/2.0, Timeurg: 2.0/4.0 - Non-Counterfactual","Mission: 4.0/2.0, Denial: 2.0/3.0, Risktol: 3.0/2.0, Timeurg: 2.0/4.0 - Non-Counterfactual","Age: 40.0/26.0, Rank: 0.0/1.0, Injury Type: 2.0/0.0, Severity: 0.25/1.0, Location: 3.0/2.0, Mission: 4.0/2.0, Denial: 2.0/3.0 - Non-Counterfactual","Age: 25.0/26.0, Injury Type: 2.0/0.0, Severity: 0.25/1.0, Location: 1.0/2.0, Mission: 7.0/2.0, Denial: 2.0/3.0, Risktol: 3.0/2.0 - Non-Counterfactual"
108,8,[8 8 8 8 8],Case: 96 / Pred: 8,Case: 104 / Pred: 8,Case: 100 / Pred: 8,Case: 101 / Pred: 8,Case: 97 / Pred: 8,"[96, 104, 100, 101, 97]","[0.33940082184166687, 0.33940082184166687, 0.33898222101264736, 0.335076228908908, 0.3343688574555957]","Risktol: 8.0/7.0, Timeurg: 2.0/7.0 - Non-Counterfactual","Risktol: 3.0/7.0, Timeurg: 2.0/7.0 - Non-Counterfactual","Denial: 8.0/2.0, Risktol: 8.0/7.0, Timeurg: 2.0/7.0 - Non-Counterfactual","Age: 25.0/22.0, Injury Type: 2.0/1.0, Severity: 0.25/0.5, Mission: 3.0/2.0, Denial: 7.0/2.0 - Non-Counterfactual","Age: 25.0/22.0, Injury Type: 2.0/1.0, Severity: 0.25/0.5, Mission: 8.0/2.0, Denial: 8.0/2.0, Risktol: 3.0/7.0 - Non-Counterfactual"
109,8,[8 8 8 8 8],Case: 105 / Pred: 8,Case: 97 / Pred: 8,Case: 101 / Pred: 8,Case: 106 / Pred: 8,Case: 111 / Pred: 8,"[105, 97, 101, 106, 111]","[0.33920314355080317, 0.3387842984711883, 0.3387842984711883, 0.334368016683957, 0.3340718439894205]","Mission: 7.0/4.0, Risktol: 3.0/6.0, Timeurg: 4.0/6.0 - Non-Counterfactual","Mission: 8.0/4.0, Denial: 8.0/2.0, Risktol: 3.0/6.0, Timeurg: 7.0/6.0 - Non-Counterfactual","Mission: 3.0/4.0, Denial: 7.0/2.0, Risktol: 7.0/6.0, Timeurg: 7.0/6.0 - Non-Counterfactual","Age: 40.0/25.0, Rank: 0.0/1.0, Location: 3.0/1.0, Mission: 7.0/4.0, Denial: 8.0/2.0, Risktol: 8.0/6.0 - Non-Counterfactual","Age: 26.0/25.0, Injury Type: 0.0/2.0, Severity: 1.0/0.25, Location: 2.0/1.0, Risktol: 3.0/6.0, Timeurg: 2.0/6.0 - Non-Counterfactual"
110,8,[8 8 8 8 8],Case: 98 / Pred: 8,Case: 102 / Pred: 8,Case: 106 / Pred: 8,Case: 107 / Pred: 8,Case: 105 / Pred: 8,"[98, 102, 106, 107, 105]","[0.3394824697009694, 0.3387842984711883, 0.3387842984711883, 0.3350752858309263, 0.33479238683891027]","Mission: 8.0/4.0, Denial: 8.0/2.0, Timeurg: 8.0/4.0 - Non-Counterfactual","Mission: 3.0/4.0, Denial: 8.0/2.0, Risktol: 3.0/2.0, Timeurg: 3.0/4.0 - Non-Counterfactual","Mission: 7.0/4.0, Denial: 8.0/2.0, Risktol: 8.0/2.0, Timeurg: 6.0/4.0 - Non-Counterfactual","Age: 26.0/40.0, Rank: 1.0/0.0, Injury Type: 0.0/2.0, Severity: 1.0/0.25, Location: 2.0/3.0, Mission: 2.0/4.0, Denial: 3.0/2.0 - Non-Counterfactual","Age: 25.0/40.0, Rank: 1.0/0.0, Location: 1.0/3.0, Mission: 7.0/4.0, Risktol: 3.0/2.0 - Non-Counterfactual"
111,8,[8 8 8 8 8],Case: 99 / Pred: 8,Case: 103 / Pred: 8,Case: 107 / Pred: 8,Case: 104 / Pred: 8,Case: 96 / Pred: 8,"[99, 103, 107, 104, 96]","[0.33969331362362665, 0.33969331362362665, 0.3387842984711883, 0.33549959932031614, 0.3347931223911839]","Mission: 2.0/4.0, Denial: 3.0/2.0, Risktol: 8.0/3.0 - Non-Counterfactual","Mission: 2.0/4.0, Denial: 3.0/2.0, Risktol: 7.0/3.0 - Non-Counterfactual","Mission: 2.0/4.0, Denial: 3.0/2.0, Risktol: 2.0/3.0, Timeurg: 4.0/2.0 - Non-Counterfactual","Age: 22.0/26.0, Injury Type: 1.0/0.0, Severity: 0.5/1.0, Location: 1.0/2.0, Mission: 2.0/4.0 - Non-Counterfactual","Age: 22.0/26.0, Injury Type: 1.0/0.0, Severity: 0.5/1.0, Location: 1.0/2.0, Mission: 2.0/4.0, Risktol: 8.0/3.0 - Non-Counterfactual"
112,8,[8 8 8 8 8],Case: 114 / Pred: 8,Case: 118 / Pred: 8,Case: 124 / Pred: 8,Case: 126 / Pred: 8,Case: 116 / Pred: 8,"[114, 118, 124, 126, 116]","[0.33989070683478784, 0.33989070683478784, 0.33969331362362665, 0.33969331362362665, 0.3396799854367662]","Denial: 2.0/6.0, Risktol: 7.0/8.0 - Non-Counterfactual","Denial: 7.0/6.0, Risktol: 7.0/8.0 - Non-Counterfactual","Mission: 4.0/2.0, Denial: 3.0/6.0, Risktol: 2.0/8.0 - Non-Counterfactual","Mission: 4.0/2.0, Denial: 2.0/6.0, Risktol: 2.0/8.0 - Non-Counterfactual","Denial: 3.0/6.0, Timeurg: 3.0/2.0 - Non-Counterfactual"
113,8,[8 8 8 8 8],Case: 126 / Pred: 8,Case: 116 / Pred: 8,Case: 125 / Pred: 8,Case: 117 / Pred: 8,Case: 124 / Pred: 8,"[126, 116, 125, 117, 124]","[0.3399004544545376, 0.33969331362362665, 0.33969331362362665, 0.3394824697009694, 0.3394824697009694]","Mission: 4.0/8.0, Timeurg: 2.0/3.0 - Non-Counterfactual","Mission: 2.0/8.0, Denial: 3.0/2.0, Risktol: 8.0/2.0 - Non-Counterfactual","Mission: 6.0/8.0, Denial: 7.0/2.0, Risktol: 3.0/2.0 - Non-Counterfactual","Mission: 4.0/8.0, Denial: 3.0/2.0, Timeurg: 7.0/3.0 - Non-Counterfactual","Mission: 4.0/8.0, Denial: 3.0/2.0, Timeurg: 2.0/3.0 - Non-Counterfactual"
114,8,[8 8 8 8 8],Case: 118 / Pred: 8,Case: 126 / Pred: 8,Case: 112 / Pred: 8,Case: 124 / Pred: 8,Case: 113 / Pred: 8,"[118, 126, 112, 124, 113]","[0.3405866100367219, 0.3401110392573743, 0.33989070683478784, 0.33969331362362665, 0.33920314355080317]",Denial: 7.0/2.0 - Non-Counterfactual,"Mission: 4.0/2.0, Risktol: 2.0/7.0 - Non-Counterfactual","Denial: 6.0/2.0, Risktol: 8.0/7.0 - Non-Counterfactual","Mission: 4.0/2.0, Denial: 3.0/2.0, Risktol: 2.0/7.0 - Non-Counterfactual","Mission: 8.0/2.0, Risktol: 2.0/7.0, Timeurg: 3.0/2.0 - Non-Counterfactual"
115,3,[3 3 3 4 4],Case: 127 / Pred: 3,Case: 119 / Pred: 3,Case: 123 / Pred: 3,Case: 199 / Pred: 4,Case: 195 / Pred: 4,"[127, 119, 123, 199, 195]","[0.34080649255609197, 0.3405866100367219, 0.3387842984711883, 0.33055253413961677, 0.33046867999653434]",Mission: 0.0/2.0 - Non-Counterfactual,Denial: 7.0/2.0 - Non-Counterfactual,"Mission: 3.0/2.0, Denial: 3.0/2.0, Risktol: 3.0/8.0, Timeurg: 6.0/2.0 - Non-Counterfactual","Prompt: 8.0/13.0, Mission: 3.0/2.0, Denial: 8.0/2.0 - Counterfactual","Prompt: 8.0/13.0, Risktol: 7.0/8.0 - Counterfactual"
116,8,[8 8 8 8 8],Case: 113 / Pred: 8,Case: 125 / Pred: 8,Case: 112 / Pred: 8,Case: 122 / Pred: 8,Case: 117 / Pred: 8,"[113, 125, 112, 122, 117]","[0.33969331362362665, 0.33969331362362665, 0.3396799854367662, 0.33940082184166687, 0.33920314355080317]","Mission: 8.0/2.0, Denial: 2.0/3.0, Risktol: 2.0/8.0 - Non-Counterfactual","Mission: 6.0/2.0, Denial: 7.0/3.0, Risktol: 3.0/8.0 - Non-Counterfactual","Denial: 6.0/3.0, Timeurg: 2.0/3.0 - Non-Counterfactual","Risktol: 3.0/8.0, Timeurg: 6.0/3.0 - Non-Counterfactual","Mission: 4.0/2.0, Risktol: 2.0/8.0, Timeurg: 7.0/3.0 - Non-Counterfactual"
117,8,[8 8 8 8 8],Case: 124 / Pred: 8,Case: 126 / Pred: 8,Case: 113 / Pred: 8,Case: 116 / Pred: 8,Case: 120 / Pred: 8,"[124, 126, 113, 116, 120]","[0.34009772744088324, 0.3396799854367662, 0.3394824697009694, 0.33920314355080317, 0.33920314355080317]",Timeurg: 2.0/7.0 - Non-Counterfactual,"Denial: 2.0/3.0, Timeurg: 2.0/7.0 - Non-Counterfactual","Mission: 8.0/4.0, Denial: 2.0/3.0, Timeurg: 3.0/7.0 - Non-Counterfactual","Mission: 2.0/4.0, Risktol: 8.0/2.0, Timeurg: 3.0/7.0 - Non-Counterfactual","Mission: 8.0/4.0, Risktol: 6.0/2.0, Timeurg: 8.0/7.0 - Non-Counterfactual"
118,8,[8 8 8 8 8],Case: 114 / Pred: 8,Case: 112 / Pred: 8,Case: 124 / Pred: 8,Case: 126 / Pred: 8,Case: 125 / Pred: 8,"[114, 112, 124, 126, 125]","[0.3405866100367219, 0.33989070683478784, 0.33969331362362665, 0.33969331362362665, 0.33920314355080317]",Denial: 2.0/7.0 - Non-Counterfactual,"Denial: 6.0/7.0, Risktol: 8.0/7.0 - Non-Counterfactual","Mission: 4.0/2.0, Denial: 3.0/7.0, Risktol: 2.0/7.0 - Non-Counterfactual","Mission: 4.0/2.0, Denial: 2.0/7.0, Risktol: 2.0/7.0 - Non-Counterfactual","Mission: 6.0/2.0, Risktol: 3.0/7.0, Timeurg: 3.0/2.0 - Non-Counterfactual"
119,3,[3 3 3 4 4],Case: 115 / Pred: 3,Case: 127 / Pred: 3,Case: 123 / Pred: 3,Case: 199 / Pred: 4,Case: 195 / Pred: 4,"[115, 127, 123, 199, 195]","[0.3405866100367219, 0.34038962038266385, 0.3387842984711883, 0.33055253413961677, 0.3300387503832243]",Denial: 2.0/7.0 - Non-Counterfactual,"Mission: 0.0/2.0, Denial: 2.0/7.0 - Non-Counterfactual","Mission: 3.0/2.0, Denial: 3.0/7.0, Risktol: 3.0/8.0, Timeurg: 6.0/2.0 - Non-Counterfactual","Prompt: 8.0/13.0, Mission: 3.0/2.0, Denial: 8.0/7.0 - Counterfactual","Prompt: 8.0/13.0, Denial: 2.0/7.0, Risktol: 7.0/8.0 - Counterfactual"
120,8,[8 8 8 8 8],Case: 121 / Pred: 8,Case: 116 / Pred: 8,Case: 117 / Pred: 8,Case: 122 / Pred: 8,Case: 124 / Pred: 8,"[121, 116, 117, 122, 124]","[0.3403081901700035, 0.33920314355080317, 0.33920314355080317, 0.33920314355080317, 0.33920314355080317]",Risktol: 3.0/6.0 - Non-Counterfactual,"Mission: 2.0/8.0, Risktol: 8.0/6.0, Timeurg: 3.0/8.0 - Non-Counterfactual","Mission: 4.0/8.0, Risktol: 2.0/6.0, Timeurg: 7.0/8.0 - Non-Counterfactual","Mission: 2.0/8.0, Risktol: 3.0/6.0, Timeurg: 6.0/8.0 - Non-Counterfactual","Mission: 4.0/8.0, Risktol: 2.0/6.0, Timeurg: 2.0/8.0 - Non-Counterfactual"
121,8,[8 8 8 8 8],Case: 120 / Pred: 8,Case: 122 / Pred: 8,Case: 125 / Pred: 8,Case: 116 / Pred: 8,Case: 117 / Pred: 8,"[120, 122, 125, 116, 117]","[0.3403081901700035, 0.3399004544545376, 0.3394824697009694, 0.33920314355080317, 0.33920314355080317]",Risktol: 6.0/3.0 - Non-Counterfactual,"Mission: 2.0/8.0, Timeurg: 6.0/8.0 - Non-Counterfactual","Mission: 6.0/8.0, Denial: 7.0/3.0, Timeurg: 3.0/8.0 - Non-Counterfactual","Mission: 2.0/8.0, Risktol: 8.0/3.0, Timeurg: 3.0/8.0 - Non-Counterfactual","Mission: 4.0/8.0, Risktol: 2.0/3.0, Timeurg: 7.0/8.0 - Non-Counterfactual"
122,8,[8 8 8 8 8],Case: 121 / Pred: 8,Case: 125 / Pred: 8,Case: 116 / Pred: 8,Case: 117 / Pred: 8,Case: 120 / Pred: 8,"[121, 125, 116, 117, 120]","[0.3399004544545376, 0.3394824697009694, 0.33940082184166687, 0.33920314355080317, 0.33920314355080317]","Mission: 8.0/2.0, Timeurg: 8.0/6.0 - Non-Counterfactual","Mission: 6.0/2.0, Denial: 7.0/3.0, Timeurg: 3.0/6.0 - Non-Counterfactual","Risktol: 8.0/3.0, Timeurg: 3.0/6.0 - Non-Counterfactual","Mission: 4.0/2.0, Risktol: 2.0/3.0, Timeurg: 7.0/6.0 - Non-Counterfactual","Mission: 8.0/2.0, Risktol: 6.0/3.0, Timeurg: 8.0/6.0 - Non-Counterfactual"
123,3,[3 3 3 4 4],Case: 115 / Pred: 3,Case: 119 / Pred: 3,Case: 127 / Pred: 3,Case: 199 / Pred: 4,Case: 195 / Pred: 4,"[115, 119, 127, 199, 195]","[0.3387842984711883, 0.3387842984711883, 0.3387842984711883, 0.3291030694547467, 0.32889920196389]","Mission: 2.0/3.0, Denial: 2.0/3.0, Risktol: 8.0/3.0, Timeurg: 2.0/6.0 - Non-Counterfactual","Mission: 2.0/3.0, Denial: 7.0/3.0, Risktol: 8.0/3.0, Timeurg: 2.0/6.0 - Non-Counterfactual","Mission: 0.0/3.0, Denial: 2.0/3.0, Risktol: 8.0/3.0, Timeurg: 2.0/6.0 - Non-Counterfactual","Prompt: 8.0/13.0, Denial: 8.0/3.0, Risktol: 8.0/3.0, Timeurg: 2.0/6.0 - Counterfactual","Prompt: 8.0/13.0, Mission: 2.0/3.0, Denial: 2.0/3.0, Risktol: 7.0/3.0, Timeurg: 2.0/6.0 - Counterfactual"
124,8,[8 8 8 8 8],Case: 126 / Pred: 8,Case: 117 / Pred: 8,Case: 112 / Pred: 8,Case: 114 / Pred: 8,Case: 118 / Pred: 8,"[126, 117, 112, 114, 118]","[0.3405866100367219, 0.34009772744088324, 0.33969331362362665, 0.33969331362362665, 0.33969331362362665]",Denial: 2.0/3.0 - Non-Counterfactual,Timeurg: 7.0/2.0 - Non-Counterfactual,"Mission: 2.0/4.0, Denial: 6.0/3.0, Risktol: 8.0/2.0 - Non-Counterfactual","Mission: 2.0/4.0, Denial: 2.0/3.0, Risktol: 7.0/2.0 - Non-Counterfactual","Mission: 2.0/4.0, Denial: 7.0/3.0, Risktol: 7.0/2.0 - Non-Counterfactual"
125,8,[8 8 8 8 8],Case: 113 / Pred: 8,Case: 116 / Pred: 8,Case: 121 / Pred: 8,Case: 122 / Pred: 8,Case: 118 / Pred: 8,"[113, 116, 121, 122, 118]","[0.33969331362362665, 0.33969331362362665, 0.3394824697009694, 0.3394824697009694, 0.33920314355080317]","Mission: 8.0/6.0, Denial: 2.0/7.0, Risktol: 2.0/3.0 - Non-Counterfactual","Mission: 2.0/6.0, Denial: 3.0/7.0, Risktol: 8.0/3.0 - Non-Counterfactual","Mission: 8.0/6.0, Denial: 3.0/7.0, Timeurg: 8.0/3.0 - Non-Counterfactual","Mission: 2.0/6.0, Denial: 3.0/7.0, Timeurg: 6.0/3.0 - Non-Counterfactual","Mission: 2.0/6.0, Risktol: 7.0/3.0, Timeurg: 2.0/3.0 - Non-Counterfactual"
126,8,[8 8 8 8 8],Case: 124 / Pred: 8,Case: 114 / Pred: 8,Case: 113 / Pred: 8,Case: 112 / Pred: 8,Case: 118 / Pred: 8,"[124, 114, 113, 112, 118]","[0.3405866100367219, 0.3401110392573743, 0.3399004544545376, 0.33969331362362665, 0.33969331362362665]",Denial: 3.0/2.0 - Non-Counterfactual,"Mission: 2.0/4.0, Risktol: 7.0/2.0 - Non-Counterfactual","Mission: 8.0/4.0, Timeurg: 3.0/2.0 - Non-Counterfactual","Mission: 2.0/4.0, Denial: 6.0/2.0, Risktol: 8.0/2.0 - Non-Counterfactual","Mission: 2.0/4.0, Denial: 7.0/2.0, Risktol: 7.0/2.0 - Non-Counterfactual"
127,3,[3 3 3 4 4],Case: 115 / Pred: 3,Case: 119 / Pred: 3,Case: 123 / Pred: 3,Case: 199 / Pred: 4,Case: 195 / Pred: 4,"[115, 119, 123, 199, 195]","[0.34080649255609197, 0.34038962038266385, 0.3387842984711883, 0.33055253413961677, 0.3302656554754062]",Mission: 2.0/0.0 - Non-Counterfactual,"Mission: 2.0/0.0, Denial: 7.0/2.0 - Non-Counterfactual","Mission: 3.0/0.0, Denial: 3.0/2.0, Risktol: 3.0/8.0, Timeurg: 6.0/2.0 - Non-Counterfactual","Prompt: 8.0/13.0, Mission: 3.0/0.0, Denial: 8.0/2.0 - Counterfactual","Prompt: 8.0/13.0, Mission: 2.0/0.0, Risktol: 7.0/8.0 - Counterfactual"
128,8,[8 8 8 8 8],Case: 140 / Pred: 8,Case: 142 / Pred: 8,Case: 134 / Pred: 8,Case: 133 / Pred: 8,Case: 141 / Pred: 8,"[140, 142, 134, 133, 141]","[0.34038962038266385, 0.34038962038266385, 0.33969331362362665, 0.3394824697009694, 0.33920314355080317]","Mission: 6.0/8.0, Denial: 3.0/7.0 - Non-Counterfactual","Mission: 4.0/8.0, Denial: 2.0/7.0 - Non-Counterfactual","Mission: 2.0/8.0, Denial: 3.0/7.0, Risktol: 7.0/2.0 - Non-Counterfactual","Mission: 4.0/8.0, Denial: 3.0/7.0, Timeurg: 7.0/2.0 - Non-Counterfactual","Mission: 6.0/8.0, Risktol: 3.0/2.0, Timeurg: 3.0/2.0 - Non-Counterfactual"
